class_name,project_name,class_id,class_path,Max-Ruler,commits_count,code_churn_avg,contributors_count,contributors_experience,hunks_count,issue_tracker_issues,cbo,wmc,dit,rfc,lcom,total_methods,max_nested_blocks,total_variables,total_refactorings,ncloc_cloc,duplicated_lines_cpd_density,comment_lines_cloc_density
Editor.java,arduino,AW-XFOWCrInABnR0ba3E,app/src/processing/app/Editor.java,1,329.0,8.0,33.0,34.4,2.0,293,52.0,282.0,13.0,361.0,1704.0,69.0,4.0,262.0,662,1820.0,0.0,16.89497717
Base.java,arduino,AW-XFOWBrInABnR0ba3D,app/src/processing/app/Base.java,1,467.0,5.0,26.0,23.54,2.0,326,70.0,361.0,1.0,426.0,4153.0,94.0,4.0,259.0,2156,1721.0,0.0,17.21981722
PApplet.java,arduino,AW-XFOWGrInABnR0ba45,arduino-core/src/processing/app/legacy/PApplet.java,1,11.0,65.0,3.0,81.63,1.0,16,3.0,108.0,1.0,74.0,774.0,40.0,3.0,66.0,30,410.0,0.0,35.73667712
Preferences.java,arduino,AW-XFOWFrInABnR0ba4f,app/src/cc/arduino/view/preferences/Preferences.java,1,34.0,29.0,8.0,73.57,4.5,217,14.0,46.0,6.0,130.0,144.0,20.0,4.0,93.0,41,799.0,0.0,4.540023895
BaseNoGui.java,arduino,AW-XFOWGrInABnR0ba4w,arduino-core/src/processing/app/BaseNoGui.java,1,184.0,5.0,12.0,37.28,2.0,40,34.0,188.0,1.0,163.0,1635.0,59.0,5.0,108.0,276,698.0,0.0,18.17116061
CommandlineParser.java,arduino,AW-XFOWIrInABnR0ba5Z,arduino-core/src/processing/app/helpers/CommandlineParser.java,1,21.0,17.0,6.0,53.6,1.0,9,9.0,103.0,1.0,36.0,183.0,26.0,4.0,30.0,14,310.0,0.0,0.958466454
InstallerJDialog.java,arduino,AW-XFOWErInABnR0ba4B,app/src/cc/arduino/contributions/ui/InstallerJDialog.java,0,38.0,10.0,6.0,52.14,2.5,1,10.0,19.0,6.0,74.0,55.0,14.0,2.0,31.0,31,276.0,0.0,14.28571429
FindReplace.java,arduino,AW-XFOWGrInABnR0ba4p,app/src/cc/arduino/view/findreplace/FindReplace.java,1,16.0,30.0,4.0,83.39,2.0,2,8.0,53.0,6.0,78.0,94.0,17.0,6.0,38.0,14,347.0,0.0,12.81407035
AbstractMonitor.java,arduino,AW-XFOWBrInABnR0ba28,app/src/processing/app/AbstractMonitor.java,0,28.0,6.0,9.0,58.56,1.0,4,6.0,27.0,6.0,37.0,178.0,21.0,2.0,15.0,59,157.0,0.0,8.187134503
MultiLibraryInstallDialog.java,arduino,AW-XFOWDrInABnR0ba3t,app/src/cc/arduino/contributions/libraries/ui/MultiLibraryInstallDialog.java,0,2.0,88.0,1.0,100.0,1.0,0,8.0,8.0,6.0,36.0,1.0,3.0,3.0,21.0,0,125.0,0.0,18.83116883
AdditionalBoardsManagerURLTextArea.java,arduino,AW-XFOWFrInABnR0ba4e,app/src/cc/arduino/view/preferences/AdditionalBoardsManagerURLTextArea.java,0,7.0,28.0,1.0,100.0,6.0,0,3.0,13.0,6.0,52.0,53.0,11.0,0.0,15.0,2,131.0,0.0,21.55688623
NotificationPopup.java,arduino,AW-XFOWFrInABnR0ba4Z,app/src/cc/arduino/view/NotificationPopup.java,0,11.0,25.0,4.0,45.4,4.0,0,5.0,12.0,6.0,40.0,9.0,6.0,1.0,20.0,59,198.0,0.0,17.15481172
MenuScroller.java,arduino,AW-XFOWDrInABnR0ba3g,app/src/processing/app/tools/MenuScroller.java,0,10.0,68.0,5.0,58.13,3.5,1,4.0,48.0,7.0,33.0,0.0,30.0,2.0,29.0,21,341.0,0.0,43.35548173
GoToLineNumber.java,arduino,AW-XFOWFrInABnR0ba4X,app/src/cc/arduino/view/GoToLineNumber.java,0,2.0,74.0,2.0,98.67,1.0,0,5.0,6.0,6.0,37.0,8.0,5.0,1.0,7.0,0,90.0,0.0,29.13385827
EditorHeader.java,arduino,AW-XFOWBrInABnR0ba20,app/src/processing/app/EditorHeader.java,1,37.0,10.0,11.0,46.66,2.0,1,12.0,33.0,4.0,49.0,20.0,8.0,3.0,60.0,22,238.0,0.0,17.36111111
Platform.java,arduino,AW-XFOWGrInABnR0ba4r,arduino-core/src/processing/app/windows/Platform.java,1,52.0,6.0,9.0,44.24,2.0,281,9.0,41.0,2.0,41.0,180.0,20.0,2.0,19.0,35,185.0,0.0,22.91666667
SerialUploader.java,arduino,AW-XFOWMrInABnR0ba6-,arduino-core/src/cc/arduino/packages/uploaders/SerialUploader.java,1,54.0,7.0,11.0,42.13,2.0,21,16.0,60.0,2.0,50.0,28.0,8.0,4.0,36.0,189,276.0,6.884057971,20.23121387
TextAreaFIFO.java,arduino,AW-XFOWBrInABnR0ba2-,app/src/processing/app/TextAreaFIFO.java,0,5.0,18.0,2.0,96.36,1.0,0,0.0,13.0,6.0,8.0,7.0,7.0,2.0,7.0,1,58.0,0.0,21.62162162
PasswordAuthorizationDialog.java,arduino,AW-XFOWCrInABnR0ba3T,app/src/processing/app/forms/PasswordAuthorizationDialog.java,0,7.0,17.0,2.0,97.97,3.0,0,4.0,5.0,6.0,32.0,0.0,5.0,0.0,9.0,3,93.0,0.0,0.0
FilterJTextField.java,arduino,AW-XFOWErInABnR0ba4G,app/src/cc/arduino/contributions/ui/FilterJTextField.java,0,13.0,11.0,5.0,55.0,1.0,0,1.0,13.0,6.0,23.0,1.0,6.0,2.0,6.0,1,90.0,0.0,26.82926829
Compiler.java,arduino,AW-XFOWKrInABnR0ba6e,arduino-core/src/cc/arduino/Compiler.java,1,45.0,14.0,7.0,69.42,1.0,286,29.0,83.0,1.0,121.0,100.0,17.0,3.0,74.0,189,486.0,0.0,8.646616541
EditorToolbar.java,arduino,AW-XFOWBrInABnR0ba2x,app/src/processing/app/EditorToolbar.java,1,45.0,13.0,12.0,53.3,2.0,3,12.0,92.0,4.0,59.0,244.0,29.0,3.0,72.0,132,381.0,0.0,17.17391304
Platform.java,arduino,AW-XFOWGrInABnR0ba41,arduino-core/src/processing/app/Platform.java,1,50.0,6.0,8.0,34.47,2.0,281,9.0,52.0,1.0,53.0,406.0,29.0,9.0,23.0,16,186.0,0.0,25.89641434
ArchiveExtractor.java,arduino,AW-XFOWLrInABnR0ba6v,arduino-core/src/cc/arduino/utils/ArchiveExtractor.java,0,16.0,19.0,5.0,48.75,3.0,4,13.0,54.0,1.0,55.0,8.0,5.0,5.0,28.0,319,201.0,0.0,25.55555556
SketchController.java,arduino,AW-XFOWBrInABnR0ba23,app/src/processing/app/SketchController.java,1,190.0,5.0,26.0,52.25,3.0,15,23.0,108.0,1.0,154.0,0.0,23.0,3.0,66.0,165,525.0,0.0,27.28531856
Preferences.java,arduino,AW-XFOWBrInABnR0ba22,app/src/processing/app/Preferences.java,0,96.0,1.0,18.0,35.95,3.0,217,2.0,12.0,1.0,12.0,66.0,12.0,0.0,3.0,125,55.0,0.0,50.89285714
SerialPortList.java,arduino,AW-XFOWGrInABnR0ba43,arduino-core/src/processing/app/SerialPortList.java,0,3.0,118.0,2.0,98.89,1.0,4,2.0,35.0,1.0,21.0,13.0,10.0,6.0,13.0,1,171.0,0.0,48.33836858
ContributionsIndexer.java,arduino,AW-XFOWKrInABnR0ba6G,arduino-core/src/cc/arduino/contributions/packages/ContributionsIndexer.java,1,58.0,8.0,6.0,51.33,2.0,7,23.0,102.0,1.0,101.0,131.0,26.0,5.0,56.0,93,383.0,0.0,10.72261072
DownloadableContributionsDownloader.java,arduino,AW-XFOWJrInABnR0ba54,arduino-core/src/cc/arduino/contributions/DownloadableContributionsDownloader.java,1,31.0,8.0,5.0,49.4,3.0,18,14.0,30.0,1.0,60.0,28.0,9.0,4.0,27.0,296,157.0,0.0,22.66009852
StringReplacer.java,arduino,AW-XFOWIrInABnR0ba5a,arduino-core/src/processing/app/helpers/StringReplacer.java,0,14.0,10.0,4.0,70.64,1.0,4,3.0,30.0,1.0,26.0,10.0,5.0,4.0,12.0,8,93.0,0.0,22.5
Theme.java,arduino,AW-XFOWBrInABnR0ba2z,app/src/processing/app/Theme.java,1,29.0,25.0,10.0,35.07,2.0,29,16.0,77.0,1.0,97.0,536.0,36.0,3.0,53.0,90,467.0,0.0,22.29617304
Win32KnownFolders.java,arduino,AW-XFOWKrInABnR0ba6T,arduino-core/src/cc/arduino/os/windows/Win32KnownFolders.java,0,3.0,27.0,1.0,100.0,3.0,3,2.0,8.0,1.0,6.0,6.0,4.0,1.0,2.0,0,41.0,0.0,43.05555556
ContributionInstaller.java,arduino,AW-XFOWKrInABnR0ba6M,arduino-core/src/cc/arduino/contributions/packages/ContributionInstaller.java,1,54.0,6.0,5.0,48.41,3.0,16,27.0,38.0,1.0,87.0,8.0,8.0,2.0,39.0,139,234.0,0.0,17.0212766
EditorTab.java,arduino,AW-XFOWCrInABnR0ba3F,app/src/processing/app/EditorTab.java,1,23.0,27.0,6.0,87.75,2.0,10,25.0,60.0,5.0,128.0,39.0,38.0,3.0,40.0,75,420.0,0.0,22.93577982
LibraryManagerUI.java,arduino,AW-XFOWDrInABnR0ba3r,app/src/cc/arduino/contributions/libraries/ui/LibraryManagerUI.java,0,63.0,5.0,4.0,52.68,3.0,6,26.0,30.0,7.0,50.0,34.0,12.0,3.0,18.0,38,227.0,0.0,12.35521236
PreferencesData.java,arduino,AW-XFOWGrInABnR0ba4z,arduino-core/src/processing/app/PreferencesData.java,1,26.0,11.0,6.0,45.12,1.0,7,9.0,54.0,1.0,59.0,209.0,27.0,3.0,17.0,11,206.0,0.0,8.444444444
ContributedPlatformTableCellJPanel.java,arduino,AW-XFOWFrInABnR0ba4U,app/src/cc/arduino/contributions/packages/ui/ContributedPlatformTableCellJPanel.java,0,41.0,8.0,5.0,42.33,3.0,0,13.0,31.0,5.0,72.0,4.0,5.0,2.0,42.0,3,248.0,22.58064516,12.67605634
ContributedLibraryTableCellJPanel.java,arduino,AW-XFOWDrInABnR0ba3s,app/src/cc/arduino/contributions/libraries/ui/ContributedLibraryTableCellJPanel.java,0,16.0,18.0,4.0,87.75,1.5,0,10.0,29.0,5.0,71.0,4.0,4.0,2.0,38.0,7,225.0,24.0,7.024793388
FileUtils.java,arduino,AW-XFOWIrInABnR0ba5X,arduino-core/src/processing/app/helpers/FileUtils.java,1,36.0,11.0,7.0,29.32,2.0,3,4.0,51.0,1.0,54.0,323.0,26.0,3.0,16.0,72,197.0,0.0,27.83882784
SerialPlotter.java,arduino,AW-XFOWBrInABnR0ba2_,app/src/processing/app/SerialPlotter.java,0,13.0,29.0,7.0,35.12,2.0,2,11.0,28.0,11.0,45.0,3.0,7.0,5.0,24.0,35,291.0,0.0,9.345794393
Serial.java,arduino,AW-XFOWGrInABnR0ba4x,arduino-core/src/processing/app/Serial.java,0,38.0,8.0,12.0,42.32,3.5,870,14.0,44.0,1.0,49.0,109.0,18.0,4.0,15.0,15,192.0,0.0,22.58064516
SSHUploader.java,arduino,AW-XFOWMrInABnR0ba6_,arduino-core/src/cc/arduino/packages/uploaders/SSHUploader.java,0,30.0,8.0,7.0,96.42,1.5,3,20.0,39.0,2.0,49.0,30.0,9.0,3.0,21.0,40,185.0,0.0,13.14553991
PluggableDiscovery.java,arduino,AW-XFOWMrInABnR0ba66,arduino-core/src/cc/arduino/packages/discoverers/PluggableDiscovery.java,1,13.0,23.0,3.0,63.85,4.0,1,11.0,46.0,1.0,46.0,23.0,14.0,4.0,24.0,91,222.0,0.0,14.94252874
LibraryInstaller.java,arduino,AW-XFOWIrInABnR0ba5q,arduino-core/src/cc/arduino/contributions/libraries/LibraryInstaller.java,0,47.0,4.0,5.0,38.06,2.0,4,20.0,20.0,1.0,55.0,17.0,7.0,3.0,24.0,103,134.0,0.0,25.96685083
EditorStatus.java,arduino,AW-XFOWBrInABnR0ba21,app/src/processing/app/EditorStatus.java,0,32.0,13.0,9.0,47.96,2.0,4,10.0,40.0,5.0,58.0,58.0,20.0,2.0,43.0,118,306.0,0.0,11.04651163
PreferencesHelper.java,arduino,AW-XFOWHrInABnR0ba5R,arduino-core/src/processing/app/helpers/PreferencesHelper.java,0,3.0,35.0,3.0,98.1,1.0,0,1.0,11.0,1.0,10.0,3.0,3.0,2.0,5.0,1,40.0,0.0,59.18367347
ThinkDifferent.java,arduino,AW-XFOWDrInABnR0ba3n,app/src/processing/app/macosx/ThinkDifferent.java,0,14.0,10.0,6.0,59.1,2.0,2,7.0,6.0,1.0,8.0,3.0,3.0,2.0,3.0,0,97.0,0.0,21.77419355
DiscoveryManager.java,arduino,AW-XFOWMrInABnR0ba7C,arduino-core/src/cc/arduino/packages/DiscoveryManager.java,0,18.0,9.0,4.0,52.84,2.0,3,12.0,23.0,1.0,31.0,7.0,6.0,5.0,10.0,10,102.0,0.0,24.44444444
ContributionsIndex.java,arduino,AW-XFOWKrInABnR0ba6I,arduino-core/src/cc/arduino/contributions/packages/ContributionsIndex.java,0,16.0,9.0,3.0,63.89,1.5,0,5.0,26.0,1.0,27.0,49.0,11.0,2.0,11.0,17,95.0,0.0,22.76422764
ContributedPackage.java,arduino,AW-XFOWKrInABnR0ba6O,arduino-core/src/cc/arduino/contributions/packages/ContributedPackage.java,0,12.0,10.0,2.0,61.58,1.0,0,7.0,35.0,1.0,19.0,72.0,13.0,4.0,2.0,4,79.0,0.0,26.1682243
FileDownloaderCache.java,arduino,AW-XFOWLrInABnR0ba60,arduino-core/src/cc/arduino/utils/network/FileDownloaderCache.java,0,15.0,29.0,1.0,100.0,5.0,0,13.0,24.0,1.0,77.0,2.0,5.0,3.0,30.0,124,336.0,0.0,12.5
ContributionManagerUI.java,arduino,AW-XFOWFrInABnR0ba4T,app/src/cc/arduino/contributions/packages/ui/ContributionManagerUI.java,0,50.0,5.0,3.0,75.71,3.0,17,20.0,24.0,7.0,34.0,40.0,12.0,3.0,8.0,28,167.0,0.0,18.53658537
RunnerException.java,arduino,AW-XFOWHrInABnR0ba5N,arduino-core/src/processing/app/debug/RunnerException.java,0,8.0,20.0,5.0,72.35,2.0,23,1.0,22.0,3.0,1.0,71.0,19.0,1.0,5.0,35,77.0,0.0,35.29411765
Platform.java,arduino,AW-XFOWHrInABnR0ba5A,arduino-core/src/processing/app/linux/Platform.java,0,24.0,6.0,9.0,41.87,2.0,281,4.0,16.0,2.0,15.0,19.0,7.0,2.0,9.0,18,81.0,0.0,27.02702703
EditorLineStatus.java,arduino,AW-XFOWCrInABnR0ba3H,app/src/processing/app/EditorLineStatus.java,0,25.0,6.0,7.0,38.94,1.0,0,7.0,18.0,4.0,29.0,10.0,8.0,2.0,18.0,27,87.0,0.0,25.0
PresentMode.java,arduino,AW-XFOWBrInABnR0ba26,app/src/processing/app/PresentMode.java,0,4.0,32.0,3.0,95.65,1.5,0,1.0,4.0,1.0,8.0,0.0,1.0,2.0,10.0,0,38.0,0.0,62.37623762
FileHash.java,arduino,AW-XFOWLrInABnR0ba6u,arduino-core/src/cc/arduino/utils/FileHash.java,0,4.0,19.0,2.0,75.76,1.5,1,2.0,4.0,1.0,7.0,0.0,1.0,3.0,7.0,0,32.0,0.0,55.55555556
GTKLookAndFeelFixer.java,arduino,AW-XFOWHrInABnR0ba5B,arduino-core/src/processing/app/linux/GTKLookAndFeelFixer.java,0,1.0,151.0,1.0,100.0,1.0,2,1.0,5.0,1.0,17.0,3.0,3.0,1.0,15.0,0,45.0,0.0,67.39130435
LegacyTargetPlatform.java,arduino,AW-XFOWHrInABnR0ba5M,arduino-core/src/processing/app/debug/LegacyTargetPlatform.java,0,8.0,31.0,4.0,61.49,1.0,0,9.0,44.0,1.0,32.0,57.0,14.0,3.0,31.0,45,172.0,0.0,16.90821256
UserLibrary.java,arduino,AW-XFOWIrInABnR0ba5f,arduino-core/src/processing/app/packages/UserLibrary.java,0,40.0,7.0,5.0,64.09,3.5,2,9.0,48.0,1.0,23.0,216.0,24.0,2.0,35.0,139,198.0,0.0,17.15481172
AStyleInterface.java,arduino,AW-XFOWFrInABnR0ba4h,app/src/cc/arduino/packages/formatter/AStyleInterface.java,0,3.0,30.0,1.0,100.0,1.0,3,3.0,7.0,1.0,11.0,6.0,4.0,1.0,0.0,0,29.0,0.0,63.75
SerialDiscovery.java,arduino,AW-XFOWMrInABnR0ba7H,arduino-core/src/cc/arduino/packages/discoverers/serial/SerialDiscovery.java,0,23.0,9.0,4.0,36.14,3.0,2,7.0,32.0,1.0,35.0,30.0,9.0,3.0,21.0,197,149.0,0.0,19.45945946
SystemProfilerParser.java,arduino,AW-XFOWGrInABnR0ba48,arduino-core/src/processing/app/macosx/SystemProfilerParser.java,0,12.0,8.0,5.0,74.75,1.0,0,0.0,20.0,1.0,17.0,0.0,2.0,4.0,25.0,1,82.0,0.0,0.0
ContributionsSelfCheck.java,arduino,AW-XFOWErInABnR0ba38,app/src/cc/arduino/contributions/ContributionsSelfCheck.java,0,16.0,14.0,4.0,53.31,3.0,0,20.0,30.0,2.0,31.0,17.0,10.0,2.0,23.0,26,155.0,0.0,19.27083333
OSUtils.java,arduino,AW-XFOWHrInABnR0ba5U,arduino-core/src/processing/app/helpers/OSUtils.java,0,6.0,6.0,4.0,65.91,1.0,0,1.0,5.0,1.0,4.0,10.0,5.0,0.0,0.0,9,18.0,0.0,40.0
FileDownloader.java,arduino,AW-XFOWLrInABnR0ba62,arduino-core/src/cc/arduino/utils/network/FileDownloader.java,0,29.0,10.0,6.0,47.55,3.0,17,10.0,44.0,2.0,57.0,105.0,19.0,4.0,23.0,414,221.0,0.0,13.33333333
Sizer.java,arduino,AW-XFOWHrInABnR0ba5E,arduino-core/src/processing/app/debug/Sizer.java,0,12.0,10.0,6.0,58.17,1.0,1,7.0,20.0,1.0,16.0,0.0,3.0,3.0,20.0,4,87.0,0.0,19.44444444
SketchTextArea.java,arduino,AW-XFOWCrInABnR0ba3N,app/src/processing/app/syntax/SketchTextArea.java,0,29.0,14.0,7.0,45.93,3.0,3,20.0,14.0,12.0,42.0,49.0,11.0,1.0,11.0,78,254.0,0.0,24.17910448
Uploader.java,arduino,AW-XFOWMrInABnR0ba7E,arduino-core/src/cc/arduino/packages/Uploader.java,0,24.0,8.0,8.0,42.14,1.0,27,7.0,27.0,1.0,20.0,33.0,11.0,3.0,10.0,8,121.0,0.0,23.41772152
I18n.java,arduino,AW-XFOWGrInABnR0ba4u,arduino-core/src/processing/app/I18n.java,0,18.0,6.0,8.0,56.98,1.5,10,1.0,10.0,1.0,9.0,4.0,4.0,2.0,9.0,26,69.0,0.0,30.3030303
ContributionIndexTableModel.java,arduino,AW-XFOWFrInABnR0ba4P,app/src/cc/arduino/contributions/packages/ui/ContributionIndexTableModel.java,0,26.0,6.0,3.0,47.77,4.0,1,6.0,23.0,3.0,22.0,46.0,13.0,3.0,5.0,21,95.0,34.73684211,28.03030303
LibrariesIndex.java,arduino,AW-XFOWJrInABnR0ba5v,arduino-core/src/cc/arduino/contributions/libraries/LibrariesIndex.java,0,22.0,8.0,3.0,50.91,2.0,2,6.0,29.0,1.0,34.0,45.0,10.0,2.0,15.0,6,108.0,0.0,28.94736842
PdeKeywords.java,arduino,AW-XFOWCrInABnR0ba3O,app/src/processing/app/syntax/PdeKeywords.java,0,23.0,8.0,8.0,46.12,2.0,5,9.0,29.0,1.0,34.0,10.0,9.0,3.0,15.0,111,131.0,0.0,19.13580247
ContributedTool.java,arduino,AW-XFOWJrInABnR0ba6E,arduino-core/src/cc/arduino/contributions/packages/ContributedTool.java,0,9.0,14.0,3.0,42.96,1.0,0,5.0,23.0,1.0,7.0,90.0,16.0,2.0,6.0,27,75.0,0.0,27.18446602
GPGDetachedSignatureVerifier.java,arduino,AW-XFOWJrInABnR0ba52,arduino-core/src/cc/arduino/contributions/GPGDetachedSignatureVerifier.java,0,8.0,15.0,2.0,91.24,2.0,1,12.0,12.0,2.0,21.0,8.0,5.0,3.0,14.0,18,71.0,0.0,28.28282828
LibrariesIndexer.java,arduino,AW-XFOWIrInABnR0ba5p,arduino-core/src/cc/arduino/contributions/libraries/LibrariesIndexer.java,0,45.0,6.0,7.0,36.25,2.0,4,18.0,41.0,1.0,58.0,45.0,14.0,3.0,28.0,48,185.0,0.0,17.77777778
UploaderUtils.java,arduino,AW-XFOWKrInABnR0ba6d,arduino-core/src/cc/arduino/UploaderUtils.java,0,8.0,12.0,4.0,72.39,1.0,20,10.0,11.0,1.0,18.0,1.0,2.0,2.0,5.0,8,51.0,0.0,35.44303797
FixEncoding.java,arduino,AW-XFOWDrInABnR0ba3f,app/src/processing/app/tools/FixEncoding.java,0,9.0,11.0,4.0,56.9,2.0,1,9.0,9.0,1.0,17.0,4.0,4.0,2.0,9.0,8,58.0,0.0,23.68421053
LibrariesIndexTableModel.java,arduino,AW-XFOWDrInABnR0ba3y,app/src/cc/arduino/contributions/libraries/ui/LibrariesIndexTableModel.java,0,27.0,8.0,3.0,47.56,3.0,0,8.0,32.0,3.0,32.0,86.0,16.0,3.0,12.0,33,138.0,23.91304348,22.90502793
EditorConsole.java,arduino,AW-XFOWCrInABnR0ba3G,app/src/processing/app/EditorConsole.java,0,25.0,8.0,8.0,37.05,2.0,0,5.0,19.0,5.0,55.0,0.0,9.0,4.0,27.0,67,124.0,0.0,18.95424837
NetUtils.java,arduino,AW-XFOWIrInABnR0ba5W,arduino-core/src/processing/app/helpers/NetUtils.java,0,8.0,7.0,2.0,100.0,2.0,0,1.0,10.0,1.0,7.0,6.0,4.0,3.0,2.0,10,46.0,0.0,2.127659574
ZipDeflater.java,arduino,AW-XFOWDrInABnR0ba3j,app/src/processing/app/tools/ZipDeflater.java,0,7.0,32.0,3.0,54.24,5.0,1,4.0,17.0,1.0,26.0,7.0,6.0,4.0,18.0,18,90.0,0.0,1.098901099
CustomProxySelector.java,arduino,AW-XFOWLrInABnR0ba6j,arduino-core/src/cc/arduino/net/CustomProxySelector.java,0,5.0,34.0,2.0,99.51,1.0,0,3.0,25.0,1.0,35.0,24.0,9.0,2.0,16.0,11,123.0,0.0,18.54304636
Archiver.java,arduino,AW-XFOWDrInABnR0ba3e,app/src/processing/app/tools/Archiver.java,0,10.0,19.0,5.0,52.99,4.0,2,8.0,16.0,1.0,35.0,4.0,4.0,2.0,26.0,6,114.0,0.0,25.49019608
Discovery.java,arduino,AW-XFOWMrInABnR0ba7D,arduino-core/src/cc/arduino/packages/Discovery.java,0,9.0,6.0,3.0,70.31,1.0,8,1.0,4.0,1.0,0.0,6.0,4.0,0.0,0.0,1,8.0,0.0,83.67346939
Languages.java,arduino,AW-XFOWLrInABnR0ba6p,arduino-core/src/cc/arduino/i18n/Languages.java,0,9.0,13.0,3.0,88.07,1.0,13,2.0,4.0,1.0,3.0,0.0,1.0,2.0,1.0,1,84.0,0.0,25.0
PreferencesMap.java,arduino,AW-XFOWHrInABnR0ba5S,arduino-core/src/processing/app/helpers/PreferencesMap.java,0,27.0,13.0,6.0,80.67,2.0,4,5.0,42.0,4.0,29.0,153.0,18.0,3.0,21.0,32,143.0,0.0,54.16666667
AbstractTextMonitor.java,arduino,AW-XFOWBrInABnR0ba27,app/src/processing/app/AbstractTextMonitor.java,0,20.0,13.0,6.0,31.85,4.0,1,7.0,19.0,7.0,67.0,20.0,12.0,2.0,25.0,76,198.0,0.0,3.883495146
ExternalProcessOutputParser.java,arduino,AW-XFOWLrInABnR0ba6n,arduino-core/src/cc/arduino/i18n/ExternalProcessOutputParser.java,0,3.0,34.0,1.0,100.0,1.0,0,1.0,12.0,1.0,25.0,3.0,3.0,2.0,11.0,0,55.0,0.0,33.73493976
GZippedJsonDownloader.java,arduino,AW-XFOWJrInABnR0ba5_,arduino-core/src/cc/arduino/contributions/GZippedJsonDownloader.java,0,9.0,10.0,3.0,72.5,2.0,2,10.0,6.0,1.0,12.0,1.0,3.0,2.0,9.0,6,52.0,0.0,35.80246914
MessageSiphon.java,arduino,AW-XFOWHrInABnR0ba5H,arduino-core/src/processing/app/debug/MessageSiphon.java,0,9.0,17.0,6.0,46.83,1.0,1,1.0,20.0,1.0,16.0,0.0,5.0,4.0,11.0,4,73.0,0.0,42.06349206
VersionHelper.java,arduino,AW-XFOWJrInABnR0ba51,arduino-core/src/cc/arduino/contributions/VersionHelper.java,0,7.0,10.0,2.0,59.66,1.0,1,2.0,8.0,1.0,10.0,1.0,2.0,2.0,4.0,10,35.0,0.0,46.15384615
SimpleAction.java,arduino,AW-XFOWCrInABnR0ba3a,app/src/processing/app/helpers/SimpleAction.java,0,1.0,112.0,1.0,100.0,1.0,0,1.0,9.0,2.0,3.0,0.0,9.0,0.0,2.0,0,49.0,0.0,50.0
BasicUserNotifier.java,arduino,AW-XFOWHrInABnR0ba5T,arduino-core/src/processing/app/helpers/BasicUserNotifier.java,0,7.0,6.0,4.0,81.97,1.0,0,2.0,8.0,2.0,4.0,3.0,3.0,1.0,0.0,10,22.0,0.0,26.66666667
SketchFile.java,arduino,AW-XFOWGrInABnR0ba42,arduino-core/src/processing/app/SketchFile.java,0,41.0,7.0,11.0,30.88,2.0,3,8.0,36.0,1.0,42.0,32.0,21.0,2.0,12.0,15,149.0,0.0,40.16064257
Constants.java,arduino,AW-XFOWKrInABnR0ba6a,arduino-core/src/cc/arduino/Constants.java,0,17.0,6.0,5.0,80.95,2.0,31,0.0,7.0,1.0,4.0,0.0,0.0,2.0,32.0,17,55.0,0.0,33.73493976
ContributedPlatform.java,arduino,AW-XFOWKrInABnR0ba6H,arduino-core/src/cc/arduino/contributions/packages/ContributedPlatform.java,0,22.0,8.0,3.0,37.45,1.0,1,8.0,34.0,2.0,13.0,174.0,21.0,2.0,14.0,23,103.0,0.0,23.13432836
Event.java,arduino,AW-XFOWFrInABnR0ba4W,app/src/cc/arduino/view/Event.java,0,3.0,18.0,2.0,96.88,1.0,58,0.0,3.0,3.0,2.0,0.0,3.0,0.0,1.0,0,18.0,0.0,60.86956522
GenericNetworkUploader.java,arduino,AW-XFOWMrInABnR0ba69,arduino-core/src/cc/arduino/packages/uploaders/GenericNetworkUploader.java,0,4.0,28.0,3.0,94.92,1.0,0,9.0,12.0,2.0,18.0,0.0,5.0,2.0,10.0,6,71.0,26.76056338,24.46808511
JMenuUtils.java,arduino,AW-XFOWFrInABnR0ba4b,app/src/cc/arduino/view/JMenuUtils.java,0,1.0,46.0,1.0,100.0,1.0,0,0.0,4.0,1.0,3.0,0.0,1.0,2.0,0.0,0,13.0,0.0,68.29268293
Keys.java,arduino,AW-XFOWCrInABnR0ba3V,app/src/processing/app/helpers/Keys.java,0,4.0,58.0,2.0,99.15,1.0,22,2.0,18.0,1.0,26.0,43.0,11.0,3.0,4.0,0,86.0,0.0,59.81308411
PConstants.java,arduino,AW-XFOWGrInABnR0ba46,arduino-core/src/processing/app/legacy/PConstants.java,0,2.0,11.0,1.0,100.0,0.5,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,1,11.0,0.0,21.42857143
ProcessUtils.java,arduino,AW-XFOWHrInABnR0ba5V,arduino-core/src/processing/app/helpers/ProcessUtils.java,0,4.0,7.0,2.0,72.5,1.5,11,1.0,3.0,1.0,7.0,0.0,1.0,1.0,4.0,1,17.0,0.0,26.08695652
Ticks.java,arduino,AW-XFOWCrInABnR0ba3Z,app/src/processing/app/helpers/Ticks.java,0,2.0,26.0,2.0,54.12,6.5,3,1.0,8.0,1.0,3.0,0.0,3.0,2.0,10.0,0,42.0,0.0,0.0
UpdateCheck.java,arduino,AW-XFOWBrInABnR0ba24,app/src/processing/app/UpdateCheck.java,0,9.0,16.0,4.0,68.4,4.0,1,6.0,10.0,1.0,18.0,1.0,3.0,4.0,17.0,0,81.0,0.0,29.56521739
