class_name,project_name,class_id,class_path,Max-Ruler,commits_count,code_churn_avg,contributors_count,contributors_experience,hunks_count,issue_tracker_issues,cbo,wmc,dit,rfc,lcom,total_methods,max_nested_blocks,total_variables,total_refactorings,ncloc_cloc,duplicated_lines_cpd_density,comment_lines_cloc_density
FrameLessXxlJobConfig.java,xxl-job,AW-Z3VGXrInABnR0cIWb,xxl-job-executor-samples/xxl-job-executor-sample-frameless/src/main/java/com/xuxueli/executor/sample/frameless/config/FrameLessXxlJobConfig.java,0,2.0,49.0,1.0,100.0,1.5,1,7.0,10.0,1.0,21.0,0.0,4.0,3.0,7.0,0,67.0,0.0,16.25
PermissionInterceptor.java,xxl-job,AW-Z3VGbrInABnR0cIYQ,xxl-job-admin/src/main/java/com/xxl/job/admin/controller/interceptor/PermissionInterceptor.java,0,14.0,4.0,2.0,62.75,3.0,1,9.0,7.0,2.0,10.0,0.0,1.0,2.0,6.0,12,42.0,0.0,14.28571429
JobTriggerPoolHelper.java,xxl-job,AW-Z3VGZrInABnR0cIXb,xxl-job-admin/src/main/java/com/xxl/job/admin/core/thread/JobTriggerPoolHelper.java,0,17.0,9.0,2.0,98.78,3.0,26,4.0,8.0,1.0,13.0,0.0,6.0,1.0,8.0,40,87.0,0.0,25.0
IJobHandler.java,xxl-job,AW-Z3VGcrInABnR0cIYq,xxl-job-core/src/main/java/com/xxl/job/core/handler/IJobHandler.java,0,25.0,2.0,3.0,51.85,2.0,15,1.0,3.0,1.0,0.0,3.0,3.0,0.0,3.0,11,13.0,0.0,63.88888889
ExecutorRouteBusyover.java,xxl-job,AW-Z3VGarInABnR0cIXp,xxl-job-admin/src/main/java/com/xxl/job/admin/core/route/strategy/ExecutorRouteBusyover.java,0,10.0,5.0,1.0,100.0,2.5,0,6.0,5.0,2.0,14.0,0.0,1.0,2.0,3.0,7,35.0,0.0,12.5
ExecutorRouteFailover.java,xxl-job,AW-Z3VGarInABnR0cIXv,xxl-job-admin/src/main/java/com/xxl/job/admin/core/route/strategy/ExecutorRouteFailover.java,0,10.0,5.0,1.0,100.0,2.5,3,6.0,5.0,2.0,13.0,0.0,1.0,2.0,3.0,7,35.0,0.0,12.5
GlueFactory.java,xxl-job,AW-Z3VGcrInABnR0cIYo,xxl-job-core/src/main/java/com/xxl/job/core/glue/GlueFactory.java,0,17.0,5.0,3.0,67.38,4.0,2,5.0,14.0,1.0,13.0,6.0,5.0,4.0,8.0,37,57.0,0.0,27.84810127
FramelessApplication.java,xxl-job,AW-Z3VGXrInABnR0cIWd,xxl-job-executor-samples/xxl-job-executor-sample-frameless/src/main/java/com/xuxueli/executor/sample/frameless/FramelessApplication.java,0,2.0,19.0,1.0,100.0,2.0,0,3.0,4.0,1.0,7.0,0.0,1.0,3.0,1.0,1,24.0,0.0,20.0
NutzSetup.java,xxl-job,AW-Z3VGXrInABnR0cIWm,xxl-job-executor-samples/xxl-job-executor-sample-nutz/src/main/java/com/xuxueli/executor/sample/nutz/config/NutzSetup.java,0,4.0,15.0,2.0,57.36,3.5,0,10.0,4.0,1.0,15.0,0.0,2.0,1.0,3.0,6,42.0,47.61904762,17.64705882
RegistryParam.java,xxl-job,AW-Z3VGerInABnR0cIZE,xxl-job-core/src/main/java/com/xxl/job/core/biz/model/RegistryParam.java,0,2.0,27.0,2.0,77.14,3.0,30,0.0,9.0,1.0,0.0,4.0,9.0,0.0,4.0,10,40.0,0.0,6.976744186
